"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"_Backfilled from recorded run history (2026-07-16) — not a live Allure execution._","81800","Verify No Work Experience","eRecruitment Public Portal","2026-07-16","passed","2026-07-16","","Profile","",""
"_Backfilled from recorded run history (2026-07-30) — not a live Allure execution._","173500","Verify Profile Details","eRecruitment Public Portal","2026-07-30","passed","2026-07-30","","Profile","",""
"_Backfilled from recorded run history (2026-07-16) — not a live Allure execution._","168400","Verify Add Tertiary Qualification In Progress","eRecruitment Public Portal","2026-07-16","passed","2026-07-16","","Profile","",""
"_Backfilled from recorded run history (2026-07-30) — not a live Allure execution._","39700","Search With Job Title Only","eRecruitment Public Portal","2026-07-30","passed","2026-07-30","","Home","",""
"_Backfilled from recorded run history (2026-08-05) — not a live Allure execution._","144800","Verify Edit Gender","eRecruitment Public Portal","2026-08-05","passed","2026-08-05","","AdminPortal","",""
"_Backfilled from recorded run history (2026-07-30) — not a live Allure execution._","193700","Cancel Job Application","eRecruitment Public Portal","2026-07-30","passed","2026-07-30","","Jobs","",""
"_Backfilled from recorded run history (2026-07-16) — not a live Allure execution._","138100","Verify Delete Work Experience","eRecruitment Public Portal","2026-07-16","passed","2026-07-16","","Profile","",""
"_Backfilled from recorded run history (2026-08-05) — not a live Allure execution._","178700","Verify Edit Province","eRecruitment Public Portal","2026-08-05","passed","2026-08-05","","AdminPortal","",""
"_Backfilled from recorded run history (2026-08-06) — not a live Allure execution._","151100","Verify Not Appointed Completeflow","eRecruitment Public Portal","2026-08-06","passed","2026-08-06","","AdminPortal","",""
"_Backfilled from recorded run history (2026-08-05) — not a live Allure execution._","62000","Advertise Job Posting Comments","eRecruitment Public Portal","2026-08-05","passed","2026-08-05","","AdminPortal","",""
"_Backfilled from recorded run history (2026-08-04) — not a live Allure execution._","248900","Verify Close Button Authoriser","eRecruitment Public Portal","2026-08-04","broken","2026-08-04","","AdminPortal","",""
"_Backfilled from recorded run history (2026-07-30) — not a live Allure execution._","52000","Verify Search By Salary Range","eRecruitment Public Portal","2026-07-30","passed","2026-07-30","","Jobs","",""
"_Backfilled from recorded run history (2026-08-06) — not a live Allure execution._","216800","Verify Qualification Status Complete Completeflow","eRecruitment Public Portal","2026-08-06","passed","2026-08-06","","AdminPortal","",""
"_Backfilled from recorded run history (2026-08-05) — not a live Allure execution._","141900","Verify Delete Work Experience","eRecruitment Public Portal","2026-08-05","failed","2026-08-05","","AdminPortal","",""
"_Backfilled from recorded run history (2026-08-06) — not a live Allure execution._","122800","Verify Decline Pre Screened Ref41 Completeflow","eRecruitment Public Portal","2026-08-06","passed","2026-08-06","","AdminPortal","",""
"_Backfilled from recorded run history (2026-08-06) — not a live Allure execution._","276400","Verify Edit Work Title Completeflow","eRecruitment Public Portal","2026-08-06","passed","2026-08-06","","AdminPortal","",""
"_Backfilled from recorded run history (2026-08-04) — not a live Allure execution._","92300","Verify Recruiter Details Authoriser","eRecruitment Public Portal","2026-08-04","passed","2026-08-04","","AdminPortal","",""
"_Backfilled from recorded run history (2026-08-04) — not a live Allure execution._","279400","Recruiter Details Confirmation","eRecruitment Public Portal","2026-08-04","passed","2026-08-04","","AdminPortal","",""
"_Backfilled from recorded run history (2026-07-30) — not a live Allure execution._","68300","Verify Resubmit","eRecruitment Public Portal","2026-07-30","passed","2026-07-30","","Dashboard","",""
"_Backfilled from recorded run history (2026-08-05) — not a live Allure execution._","155600","Verify Edit City","eRecruitment Public Portal","2026-08-05","passed","2026-08-05","","AdminPortal","",""
"_Backfilled from recorded run history (2026-08-05) — not a live Allure execution._","206100","Verify Edit Last Name","eRecruitment Public Portal","2026-08-05","passed","2026-08-05","","AdminPortal","",""
"_Backfilled from recorded run history (2026-08-05) — not a live Allure execution._","181400","Verify Edit Race Completeflow","eRecruitment Public Portal","2026-08-05","passed","2026-08-05","","AdminPortal","",""
"_Backfilled from recorded run history (2026-07-16) — not a live Allure execution._","59700","Verify Delete Skill","eRecruitment Public Portal","2026-07-16","passed","2026-07-16","","Profile","",""
"_Backfilled from recorded run history (2026-08-05) — not a live Allure execution._","203000","Verify Edit Gender Completeflow","eRecruitment Public Portal","2026-08-05","passed","2026-08-05","","AdminPortal","",""
"_Backfilled from recorded run history (2026-07-30) — not a live Allure execution._","43300","Verify Search By Job Title","eRecruitment Public Portal","2026-07-30","passed","2026-07-30","","Jobs","",""
"_Backfilled from recorded run history (2026-08-06) — not a live Allure execution._","265900","Verify Edit Qualification Name Completeflow","eRecruitment Public Portal","2026-08-06","passed","2026-08-06","","AdminPortal","",""
"_Backfilled from recorded run history (2026-08-04) — not a live Allure execution._","224100","Upload Supporting Documents","eRecruitment Public Portal","2026-08-04","passed","2026-08-04","","AdminPortal","",""
"_Backfilled from recorded run history (2026-08-06) — not a live Allure execution._","123000","Verify Pre Screen Completeflow","eRecruitment Public Portal","2026-08-06","broken","2026-08-06","","AdminPortal","",""
"_Backfilled from recorded run history (2026-08-05) — not a live Allure execution._","208800","Verify Edit Identity Number","eRecruitment Public Portal","2026-08-05","passed","2026-08-05","","AdminPortal","",""
"_Backfilled from recorded run history (2026-08-06) — not a live Allure execution._","231900","Verify Not Interviewed Frd123 Completeflow","eRecruitment Public Portal","2026-08-06","passed","2026-08-06","","AdminPortal","",""
"_Backfilled from recorded run history (2026-07-16) — not a live Allure execution._","33600","Verify Add Skills","eRecruitment Public Portal","2026-07-16","passed","2026-07-16","","Profile","",""
"_Backfilled from recorded run history (2026-08-05) — not a live Allure execution._","206100","Verify Edit Mobile Number Completeflow","eRecruitment Public Portal","2026-08-05","passed","2026-08-05","","AdminPortal","",""
"_Backfilled from recorded run history (2026-08-06) — not a live Allure execution._","379900","Verify Edit City Completeflow","eRecruitment Public Portal","2026-08-06","passed","2026-08-06","","AdminPortal","",""
"_Backfilled from recorded run history (2026-08-05) — not a live Allure execution._","215300","Verify Edit Email Address Completeflow","eRecruitment Public Portal","2026-08-05","passed","2026-08-05","","AdminPortal","",""
"_Backfilled from recorded run history (2026-08-06) — not a live Allure execution._","185100","Verify Edit Qualification Status Completeflow","eRecruitment Public Portal","2026-08-06","passed","2026-08-06","","AdminPortal","",""
"_Backfilled from recorded run history (2026-08-05) — not a live Allure execution._","81400","Verify Internal Communications Functionality","eRecruitment Public Portal","2026-08-05","passed","2026-08-05","","AdminPortal","",""
"_Backfilled from recorded run history (2026-08-05) — not a live Allure execution._","108300","Verify Delete Qualification","eRecruitment Public Portal","2026-08-05","passed","2026-08-05","","AdminPortal","",""
"_Backfilled from recorded run history (2026-08-04) — not a live Allure execution._","81800","Verify Close Button Do Not Authorise Dialog","eRecruitment Public Portal","2026-08-04","passed","2026-08-04","","AdminPortal","",""
"_Backfilled from recorded run history (2026-08-05) — not a live Allure execution._","199200","Verify Advertise Later Functionality","eRecruitment Public Portal","2026-08-05","broken","2026-08-05","","AdminPortal","",""
"_Backfilled from recorded run history (2026-08-05) — not a live Allure execution._","112900","Verify Job Information Summary Details Advertiser","eRecruitment Public Portal","2026-08-05","passed","2026-08-05","","AdminPortal","",""
"_Backfilled from recorded run history (2026-08-06) — not a live Allure execution._","135100","Verify Shortlist Completeflow","eRecruitment Public Portal","2026-08-06","passed","2026-08-06","","AdminPortal","",""
"_Backfilled from recorded run history (2026-08-06) — not a live Allure execution._","150700","Verify Not Interviewed Completeflow","eRecruitment Public Portal","2026-08-06","passed","2026-08-06","","AdminPortal","",""
"_Backfilled from recorded run history (2026-08-06) — not a live Allure execution._","274200","Verify Edit Qualification Type Completeflow","eRecruitment Public Portal","2026-08-06","passed","2026-08-06","","AdminPortal","",""
"_Backfilled from recorded run history (2026-07-30) — not a live Allure execution._","989300","Verify Add Alert Weekly","eRecruitment Public Portal","2026-07-30","broken","2026-07-30","","Alerts","",""
"_Backfilled from recorded run history (2026-07-16) — not a live Allure execution._","143000","Verify Edit Tertiary Qualification","eRecruitment Public Portal","2026-07-16","passed","2026-07-16","","Profile","",""
"_Backfilled from recorded run history (2026-07-16) — not a live Allure execution._","141900","Verify Edit Work Experience","eRecruitment Public Portal","2026-07-16","passed","2026-07-16","","Profile","",""
"_Backfilled from recorded run history (2026-08-05) — not a live Allure execution._","142800","Verify Qualification Status Complete","eRecruitment Public Portal","2026-08-05","broken","2026-08-05","","AdminPortal","",""
"_Backfilled from recorded run history (2026-08-06) — not a live Allure execution._","64200","Verify Successful Manual Application","eRecruitment Public Portal","2026-08-06","passed","2026-08-06","","AdminPortal","",""
"_Backfilled from recorded run history (2026-08-06) — not a live Allure execution._","241400","Verify Edit Employment Date Completeflow","eRecruitment Public Portal","2026-08-06","passed","2026-08-06","","AdminPortal","",""
"_Backfilled from recorded run history (2026-08-04) — not a live Allure execution._","266900","Output And Competencies Profiles Confirmation","eRecruitment Public Portal","2026-08-04","passed","2026-08-04","","AdminPortal","",""
"_Backfilled from recorded run history (2026-08-06) — not a live Allure execution._","113100","Verify Delete Work Experience Completeflow","eRecruitment Public Portal","2026-08-06","failed","2026-08-06","","AdminPortal","",""
"_Backfilled: no run has been recorded for this flow yet._","1000","Withdraw Application","eRecruitment Public Portal","2026-09-09","skipped","2026-09-09","","Dashboard","",""
"_Backfilled from recorded run history (2026-08-06) — not a live Allure execution._","231700","Verify Edit Employer Completeflow","eRecruitment Public Portal","2026-08-06","passed","2026-08-06","","AdminPortal","",""
"_Backfilled from recorded run history (2026-08-05) — not a live Allure execution._","196800","Verify Edit Race","eRecruitment Public Portal","2026-08-05","passed","2026-08-05","","AdminPortal","",""
"_Backfilled from recorded run history (2026-08-05) — not a live Allure execution._","202700","Verify Edit Employment Date","eRecruitment Public Portal","2026-08-05","passed","2026-08-05","","AdminPortal","",""
"_Backfilled from recorded run history (2026-08-05) — not a live Allure execution._","92300","Verify Edit Last Name Completeflow","eRecruitment Public Portal","2026-08-05","passed","2026-08-05","","AdminPortal","",""
"_Backfilled from recorded run history (2026-07-06) — not a live Allure execution._","229600","Verify Background Information","eRecruitment Public Portal","2026-07-06","passed","2026-07-06","","Profile","",""
"_Backfilled from recorded run history (2026-08-05) — not a live Allure execution._","152800","Verify Edit Institution","eRecruitment Public Portal","2026-08-05","passed","2026-08-05","","AdminPortal","",""
"_Backfilled from recorded run history (2026-08-04) — not a live Allure execution._","363700","Job Information Summary Confirmation","eRecruitment Public Portal","2026-08-04","passed","2026-08-04","","AdminPortal","",""
"_Backfilled from recorded run history (2026-08-05) — not a live Allure execution._","211700","Verify Edit Work Title","eRecruitment Public Portal","2026-08-05","passed","2026-08-05","","AdminPortal","",""
"_Backfilled from recorded run history (2026-07-16) — not a live Allure execution._","138000","Verify Complete Secondary Qualifications","eRecruitment Public Portal","2026-07-16","passed","2026-07-16","","Profile","",""
"_Backfilled from recorded run history (2026-08-05) — not a live Allure execution._","187400","Verify Edit Internal External Completeflow","eRecruitment Public Portal","2026-08-05","passed","2026-08-05","","AdminPortal","",""
"_Backfilled from recorded run history (2026-07-06) — not a live Allure execution._","248000","Verify Contact Details","eRecruitment Public Portal","2026-07-06","passed","2026-07-06","","Profile","",""
"_Backfilled from recorded run history (2026-08-04) — not a live Allure execution._","80600","Verify Authorize Job Posting","eRecruitment Public Portal","2026-08-04","passed","2026-08-04","","AdminPortal","",""
"_Backfilled from recorded run history (2026-08-04) — not a live Allure execution._","54000","Verify Authorize Job Post","eRecruitment Public Portal","2026-08-04","passed","2026-08-04","","AdminPortal","",""
"_Backfilled from recorded run history (2026-08-05) — not a live Allure execution._","257600","Verify Edit Qualification Type","eRecruitment Public Portal","2026-08-05","passed","2026-08-05","","AdminPortal","",""
"_Backfilled from recorded run history (2026-07-30) — not a live Allure execution._","63600","Verify Valid Job Title And Location 106559","eRecruitment Public Portal","2026-07-30","passed","2026-07-30","","Home","",""
"_Backfilled from recorded run history (2026-07-06) — not a live Allure execution._","229500","Verify Demographic Details","eRecruitment Public Portal","2026-07-06","passed","2026-07-06","","Profile","",""
"_Backfilled from recorded run history (2026-07-16) — not a live Allure execution._","72900","Verify Secondary Qualifications In Progress","eRecruitment Public Portal","2026-07-16","passed","2026-07-16","","Profile","",""
"_Backfilled from recorded run history (2026-07-16) — not a live Allure execution._","88800","Verify No Tertiary Qualification","eRecruitment Public Portal","2026-07-16","passed","2026-07-16","","Profile","",""
"_Backfilled from recorded run history (2026-08-05) — not a live Allure execution._","86800","Verify Output And Competencies Advertiser","eRecruitment Public Portal","2026-08-05","passed","2026-08-05","","AdminPortal","",""
"_Backfilled from recorded run history (2026-08-06) — not a live Allure execution._","164700","Verify Decline Pre Screened Completeflow","eRecruitment Public Portal","2026-08-06","passed","2026-08-06","","AdminPortal","",""
"_Backfilled from recorded run history (2026-08-06) — not a live Allure execution._","156300","Verify Appointed Ref43 Completeflow","eRecruitment Public Portal","2026-08-06","passed","2026-08-06","","AdminPortal","",""
"_Backfilled from recorded run history (2026-08-06) — not a live Allure execution._","124500","Verify Send Message Public Portal Completeflow","eRecruitment Public Portal","2026-08-06","passed","2026-08-06","","AdminPortal","",""
"_Backfilled from recorded run history (2026-07-16) — not a live Allure execution._","200900","Verify Add Tertiary Qualification Complete","eRecruitment Public Portal","2026-07-16","passed","2026-07-16","","Profile","",""
"_Backfilled from recorded run history (2026-07-16) — not a live Allure execution._","143300","Verify Add Work Experience Not Current Employer","eRecruitment Public Portal","2026-07-16","passed","2026-07-16","","Profile","",""
"_Backfilled from recorded run history (2026-08-05) — not a live Allure execution._","207000","Verify Edit Nature Of Disability","eRecruitment Public Portal","2026-08-05","passed","2026-08-05","","AdminPortal","",""
"_Backfilled from recorded run history (2026-08-05) — not a live Allure execution._","270600","Verify Close Button Advertiser","eRecruitment Public Portal","2026-08-05","broken","2026-08-05","","AdminPortal","",""
"_Backfilled from recorded run history (2026-08-05) — not a live Allure execution._","205700","Verify Edit Internal External Applicant","eRecruitment Public Portal","2026-08-05","passed","2026-08-05","","AdminPortal","",""
"_Backfilled from recorded run history (2026-08-04) — not a live Allure execution._","257000","Create Job Posting Valid","eRecruitment Public Portal","2026-08-04","passed","2026-08-04","","AdminPortal","",""
"_Backfilled from recorded run history (2026-07-30) — not a live Allure execution._","180100","Verify Delete Alert","eRecruitment Public Portal","2026-07-30","passed","2026-07-30","","Alerts","",""
"_Backfilled: no run has been recorded for this flow yet._","1000","Verify Apply For A Job","eRecruitment Public Portal","2026-09-09","skipped","2026-09-09","","Jobs","",""
"_Backfilled from recorded run history (2026-08-05) — not a live Allure execution._","182700","Verify Edit Province Completeflow","eRecruitment Public Portal","2026-08-05","passed","2026-08-05","","AdminPortal","",""
"_Backfilled from recorded run history (2026-08-05) — not a live Allure execution._","159100","Verify Edit Reasons For Leaving","eRecruitment Public Portal","2026-08-05","passed","2026-08-05","","AdminPortal","",""
"_Backfilled from recorded run history (2026-07-30) — not a live Allure execution._","88900","Verify Valid Job Title And Location","eRecruitment Public Portal","2026-07-30","passed","2026-07-30","","Home","",""
"_Backfilled from recorded run history (2026-08-04) — not a live Allure execution._","73000","Authorize Job Posting Comments","eRecruitment Public Portal","2026-08-04","passed","2026-08-04","","AdminPortal","",""
"_Backfilled from recorded run history (2026-08-06) — not a live Allure execution._","101600","Verify Shortlist Workflow Inbox Completeflow","eRecruitment Public Portal","2026-08-06","passed","2026-08-06","","AdminPortal","",""
