"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","51000","TC-05: Update Supervisor / Routing Updated (Nthabiseng Magoma — applicant)","HCM","2026-06-11","passed","2026-06-11","Update Supervisor","Change of Supervisor — Happy Path","",""
"","390000","NEG-01: Not Recommend (Annual Leave) — advisory, still routes to Approver","HCM","2026-06-11","passed","2026-06-11","","Negative Path — Workflow Rejections","",""
"","62000","TC-03: Approve Cancellation (Naledi Khumalo, GOV022 — HOD Infrastructure)","HCM","2026-06-11","passed","2026-06-11","Approve Leave Cancellation","eLeave — Leave Cancellation Happy Path","",""
"","53000","TC-02: Recommend Cancellation (Kavitha Naidoo, GOV012 — Infra Manager)","HCM","2026-06-11","passed","2026-06-11","Recommends Cancellation","eLeave — Leave Cancellation Happy Path","",""
"","240000","TC-03: Access delegator's My Items + Inbox","HCM","2026-06-15","passed","2026-06-15","Delegated access","eLeave — Delegate Acts on Delegator's Items","",""
"","240000","TC-01: Apply — Capture Family Responsibility (Death) Leave (Thabo Mthembu, GOV003)","HCM","2026-06-10","passed","2026-06-10","Application for leave (#101941)","eLeave — Family Responsibility (Death) Happy Path","",""
"","283000","NEG-05: Change of Supervisor — Not Approved (terminal Declined)","HCM","2026-06-11","passed","2026-06-11","","Negative Path — Workflow Rejections","",""
"","99000","TC-03: Approve with Full Pay (Naledi Khumalo, GOV022 — HOD Infrastructure)","HCM","2026-06-11","passed","2026-06-11","Approve leave (#101991)","eLeave — Maternity Leave Happy Path","",""
"","240000","TC-02: Switch into delegated context (act as Thabo)","HCM","2026-06-15","passed","2026-06-15","Delegated access","eLeave — Delegate Acts on Delegator's Items","",""
"","155000","TC-02: Recommend (Kavitha Naidoo, GOV012 — Infra Manager)","HCM","2026-06-09","passed","2026-06-09","Recommend Leave (#101970)","eLeave — Annual Leave Happy Path","",""
"","80000","TC-02: Recommend (Kavitha Naidoo, GOV012 — Infra Manager)","HCM","2026-06-11","passed","2026-06-11","Recommend Leave (#101970)","eLeave — Apply for Someone Else (Annual Leave)","",""
"","120000","TC-02: Recommend (Kavitha Naidoo, GOV012 — Infra Manager)","HCM","2026-06-10","passed","2026-06-10","Recommend Leave (#101970)","eLeave — Family Responsibility (Death) Happy Path","",""
"","88000","TC-03: Approve with Full Pay (Naledi Khumalo, GOV022 — HOD Infrastructure)","HCM","2026-06-11","passed","2026-06-11","Approve leave (#101991)","eLeave — Apply for Someone Else (Annual Leave)","",""
"","360000","TC-01: Future-dated delegate has no access today (Andrew Smith, GOV005)","HCM","2026-06-15","passed","2026-06-15","Delegated access","eLeave — Future-Dated Delegation Blocked","",""
"","70000","TC-03: New Supervisor Approval (Kavitha Naidoo, GOV012)","HCM","2026-06-11","passed","2026-06-11","New Supervisor","Change of Supervisor — Happy Path","",""
"","360000","TC-02: Recommend (Kavitha Naidoo, GOV012 — Infra Manager)","HCM","2026-06-15","passed","2026-06-15","Recommend Leave (#101970)","eLeave — Apply with Delegation (Annual Leave)","",""
"","145000","NEG-02: Not Approve (Annual Leave) — terminal Declined","HCM","2026-06-11","passed","2026-06-11","","Negative Path — Workflow Rejections","",""
"","360000","TC-04: Approve with Full Pay (Naledi Khumalo, GOV022 — HOD Infrastructure)","HCM","2026-06-10","passed","2026-06-10","Approve leave (#101991)","eLeave — Adoption Leave Happy Path","",""
"","180000","TC-03: Approve with Full Pay (Naledi Khumalo, GOV022 — HOD Infrastructure)","HCM","2026-06-12","passed","2026-06-12","Approve leave (#101991)","eLeave — Backdated Annual Leave Happy Path","",""
"","360000","TC-02: Verify Attachments (Thabo Mthembu, GOV003 — applicant self-verify)","HCM","2026-06-10","passed","2026-06-10","Verify Attachments (Adoption-specific — no ADO suite)","eLeave — Adoption Leave Happy Path","",""
"","360000","TC-03: Approve with Full Pay (Naledi Khumalo, GOV022 — HOD Infrastructure)","HCM","2026-06-15","passed","2026-06-15","Approve leave (#101991)","eLeave — Apply with Delegation (Annual Leave)","",""
"","720000","NEG-03: Send Back (Recommender → applicant) — returns to applicant inbox","HCM","2026-06-11","passed","2026-06-11","","Negative Path — Workflow Rejections","",""
"","106000","TC-02: Old Supervisor Approval (Naledi Khumalo, GOV022)","HCM","2026-06-11","passed","2026-06-11","Old Supervisor","Change of Supervisor — Happy Path","",""
"","76000","TC-01: Initiate Request (Nthabiseng Magoma — applicant)","HCM","2026-06-11","passed","2026-06-11","Initiate (Draft)","Change of Supervisor — Happy Path","",""
"","295000","TC-01: Apply on behalf of Priya (Thabo Mthembu, GOV003 — initiator)","HCM","2026-06-11","passed","2026-06-11","Application for leave (#101941)","eLeave — Apply for Someone Else (Annual Leave)","",""
"","480000","TC-01: Apply — Capture Annual Leave + Delegate on Submit (Thabo Mthembu, GOV003 → Andrew Smith)","HCM","2026-06-15","passed","2026-06-15","Application for leave (#101941)","eLeave — Apply with Delegation (Annual Leave)","",""
"","360000","TC-03: Recommend (Kavitha Naidoo, GOV012 — Infra Manager)","HCM","2026-06-10","passed","2026-06-10","Recommend Leave (#101970)","eLeave — Adoption Leave Happy Path","",""
"","225000","TC-01: Apply — Capture Annual Leave (Thabo Mthembu, GOV003)","HCM","2026-06-12","passed","2026-06-12","Application for leave (#101941)","eLeave — Approve Without Pay Happy Path","",""
"","83000","TC-03: Approve with Full Pay (Naledi Khumalo, GOV022 — HOD)","HCM","2026-06-09","passed","2026-06-09","Approve leave (#101991)","eLeave — Annual Leave Happy Path","",""
"","180000","TC-04: Acknowledge Leave Without Pay (Andrew Smith, GOV005 — HR)","HCM","2026-06-12","passed","2026-06-12","Acknowledge Leave Without Pay (no ADO suite)","eLeave — Approve Without Pay Happy Path","",""
"","270000","TC-01: Apply — Capture Backdated Annual Leave (Thabo Mthembu, GOV003)","HCM","2026-06-12","passed","2026-06-12","Application for leave (#101941)","eLeave — Backdated Annual Leave Happy Path","",""
"","240000","TC-03: Approve with Full Pay (Naledi Khumalo, GOV022 — HOD Infrastructure)","HCM","2026-06-10","passed","2026-06-10","Approve leave (#101991)","eLeave — Sick Leave Happy Path","",""
"","180000","TC-03: Approve Without Pay (Naledi Khumalo, GOV022 — HOD Infrastructure)","HCM","2026-06-12","passed","2026-06-12","Approve leave (#101991)","eLeave — Approve Without Pay Happy Path","",""
"","246000","TC-01: Apply — Capture Annual Leave (Thabo Mthembu, GOV003)","HCM","2026-06-09","passed","2026-06-09","Application for leave (#101941)","eLeave — Annual Leave Happy Path","",""
"","360000","TC-04: Act — resubmit Thabo's sent-back leave on his behalf","HCM","2026-06-15","passed","2026-06-15","Delegated access","eLeave — Delegate Acts on Delegator's Items","",""
"","103000","TC-02: Recommend (Kavitha Naidoo, GOV012 — Infra Manager)","HCM","2026-06-11","passed","2026-06-11","Recommend Leave (#101970)","eLeave — Maternity Leave Happy Path","",""
"","70000","TC-04: HR Approve (Andrew Smith, GOV005 — HR)","HCM","2026-06-11","passed","2026-06-11","HR Approve","Change of Supervisor — Happy Path","",""
"","180000","TC-02: Approve direct — Recommend skipped (Tania Smith, Tester97)","HCM","2026-06-12","passed","2026-06-12","","eLeave — One-Step Approver (Skip Recommend)","",""
"","135000","TC-02: Recommend (Kavitha Naidoo, GOV012 — Infra Manager)","HCM","2026-06-12","passed","2026-06-12","Recommend Leave (#101970)","eLeave — Backdated Annual Leave Happy Path","",""
